127,144
128,145
128,147
128,150
130,135
130,151
130,153
130,154
131,135
131,137
131,138
131,155
131,162
132,135
132,138
132,140
132,147
132,151
132,154
132,156
133,137
135,134
135,141
135,142
135,145
135,154
135,159
136,131
136,132
136,142
136,143
136,153
137,160
138,156
139,153
140,139
140,156
140,170
141,139
141,154
142,129
142,131
142,166
143,173
144,138
144,147
144,153
144,159
145,139
145,146
145,152
145,161
145,163
145,170
146,139
146,157
146,159
146,165
146,170
147,139
147,140
147,150
147,152
147,153
147,166
147,167
148,140
148,147
148,156
148,159
148,171
149,130
149,141
149,147
149,151
149,153
149,154
149,155
149,161
149,165
149,174
150,147
150,155
150,160
150,161
150,162
150,165
150,169
150,174
151,141
151,145
151,146
151,153
151,155
151,156
151,157
151,159
151,162
151,163
151,164
151,165
152,145
152,149
152,151
152,153
152,154
152,161
153,131
153,138
153,142
153,147
153,151
153,153
153,154
153,157
153,160
153,161
153,162
153,166
154,130
154,134
154,138
154,140
154,150
154,154
154,155
154,162
154,163
155,128
155,135
155,155
156,131
156,133
156,134
156,136
156,137
156,152
156,156
156,158
156,172
157,131
157,134
157,135
157,136
157,142
157,146
157,155
157,156
157,157
157,158
157,159
157,173
158,137
158,146
158,158
159,133
159,157
159,159
159,160
161,146
162,135
162,160
162,161
163,161
163,167
164,164
164,166
165,137
165,156
165,157
165,158
165,159
165,160
165,167
166,160
166,161
166,163
167,160
167,167
168,143
168,144
168,160
168,162
169,136
169,144
169,145
169,158
169,161
170,134
170,135
170,139
170,142
171,138
171,157
172,139
173,143
174,141
174,145
175,147
177,145
